#KEY	Filter on data 192: Filtered BAM	Filter on data 184: Filtered BAM	Filter on data 182: Filtered BAM	Filter on data 194: Filtered BAM	Filter on data 188: Filtered BAM	Filter on data 196: Filtered BAM	Filter on data 190: Filtered BAM	Filter on data 186: Filtered BAM
TU6030	19	7	20	13	13	18	13	3
TU6031	11	9	3	12	7	6	6	6
TU6032	122	208	156	82	76	106	112	56
TU6033	69	68	60	46	68	28	31	20
TU6034	0	0	0	3	1	0	0	0
TU6035	0	0	0	0	0	0	0	0
TU6036	179	194	189	146	174	72	90	80
TU6037	208	226	288	128	159	119	110	84
TU6038	104	94	86	74	92	36	31	37
TU6039	0	0	0	0	0	0	0	0
TU604	913	687	794	737	753	616	550	607
TU6040	114	82	175	93	79	41	70	23
TU6041	13	15	10	9	11	8	4	2
TU6042	46	29	35	20	40	11	16	13
TU6043	46	31	44	23	44	18	24	9
TU6044	992	1325	918	589	819	828	747	628
TU6045	9	8	18	5	6	0	9	6
TU6046	64	59	58	33	52	33	32	27
TU6047	665	711	632	530	690	546	552	438
TU6048	4	2	0	7	6	1	0	1
TU6049	325	143	153	575	447	101	58	225
TU605	413	493	551	415	491	551	461	368
TU6050	438	322	418	299	432	134	158	213
TU6051	860	744	700	662	1004	344	590	398
TU6052	203	191	205	160	191	78	118	112
TU6053	5	3	3	6	3	5	3	3
TU6054	35	30	31	24	21	36	40	34
TU6055	4	2	11	4	4	2	1	1
TU6056	14	7	13	4	10	9	7	5
TU6057	1	5	4	3	11	0	1	2
TU6058	0	0	0	0	0	0	0	0
TU6059	0	0	0	0	0	0	0	0
TU606	418	479	412	273	393	536	303	262
TU6060	0	0	0	0	0	0	0	0
TU6061	0	0	0	0	0	0	0	0
TU6062	0	0	0	0	0	0	0	0
TU6063	0	0	0	0	0	0	0	0
TU6064	0	0	0	0	0	0	0	0
TU6065	0	0	0	0	0	0	0	0
TU6066	0	0	0	0	0	0	0	0
TU6067	0	0	0	0	0	0	0	0
TU6068	0	0	0	0	0	0	0	0
TU6069	0	0	0	0	0	0	0	0
TU607	110	95	97	62	92	104	65	66
TU6070	0	0	0	0	0	0	0	0
TU6071	0	0	0	0	0	0	0	0
TU6072	0	0	0	0	0	0	0	0
TU6073	0	0	0	0	0	0	0	0
TU6074	0	0	0	0	0	0	0	0
TU6075	0	0	0	0	0	0	0	0
TU6076	0	0	0	0	0	0	0	0
TU6077	0	0	0	0	0	0	0	0
TU6078	0	0	0	0	0	0	0	0
TU6079	0	0	0	0	0	0	0	0
TU608	216	305	379	211	221	361	231	213
TU6080	0	0	0	0	0	0	0	0
TU6081	0	0	0	0	0	0	0	0
TU6082	375	312	476	438	463	381	226	187
TU6083	69049	57085	54513	42768	60936	38801	64353	45901
TU6084	268	266	238	213	258	119	94	93
TU6085	57	69	74	65	72	14	19	26
TU6086	263	190	387	199	248	216	174	179
TU6087	11	0	5	8	2	1	3	2
TU6088	70	131	97	58	72	97	57	42
TU6089	54	50	40	39	74	34	25	18
TU609	39	37	39	25	22	36	54	23
TU6090	182	136	203	126	170	92	100	75
TU6091	1	2	6	1	3	8	1	2
TU6092	575	483	649	387	537	395	411	327
TU6093	22212	17148	19356	20017	23065	14340	26854	21134
