rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU1513	849.2341466729015	0.12487917080782869	0.16534905982704798	0.7552457264555962	0.45010155681396036	0.7969601069643231
TU1848	299.59320461786166	-0.17256305803006347	0.22858430032222976	-0.7549208663359885	0.45029646487035285	0.7969601069643231
TU2919	80.23817569453036	0.19173729083734253	0.2539675468045716	0.7549676848470905	0.45026837197025704	0.7969601069643231
TU3618	288.36367906018984	-0.269489854741444	0.3569534830287426	-0.7549719152614184	0.4502658336085241	0.7969601069643231
TU7030	119.46082808927514	0.2757732708588921	0.3651648429375405	0.7552021400539417	0.4501277048024537	0.7969601069643231
TU264	1394.9964787875072	0.1355739361198725	0.17992322221100135	0.753509938594146	0.451143541290329	0.7975077195979181
TU2879	257.3836591209108	0.17499422178111737	0.23229477783742028	0.7533282642436038	0.4512526783234503	0.7975077195979181
TU853	273.7410981714361	0.12944677828392917	0.17177037844935275	0.7536036157834811	0.45108727253267034	0.7975077195979181
TU3556	23.108029095460786	0.34564543678869825	0.45964483652369054	0.7519837259629117	0.45206084558065324	0.798554473640323
TU3126	31.638103649924055	0.3648545054067275	0.4859574705624139	0.7507951364230904	0.4527759568882548	0.7994359257898112
TU3643	402.25055183866726	0.12312604576822246	0.1641077732845246	0.75027552506456	0.453088780079207	0.7996065827829135
TU3238	57.69001978136724	-0.22861918910043352	0.30499201358039524	-0.7495907398249626	0.4535012296961227	0.7997788779306502
TU3409	880.2068594340176	-0.13925963794426957	0.18582928607731633	-0.7493955386898976	0.4536188391182763	0.7997788779306502
TU3230	125.4787825262685	0.23656308191997102	0.31615265966389083	0.7482558652882019	0.45430584006357716	0.8006085290115159
TU1831	1103.9049654374066	-0.11677390951771309	0.1563092426894252	-0.7470697670113733	0.4550214485554904	0.8014877800984567
TU1057	1178.0281850726096	0.2010211991136497	0.26976529804243704	0.7451707116236532	0.4561685261354838	0.8016965486496953
TU1069	385.4460820986717	0.14558656576419685	0.19539734766084335	0.7450795392417278	0.45622363744460903	0.8016965486496953
TU1301	16.545783136876768	-0.3726734841538063	0.4998443872997426	-0.7455790114340616	0.4559217655600861	0.8016965486496953
TU173	92.74456751507333	0.18552425069802758	0.2486861624054837	0.7460175865978809	0.45565679140301807	0.8016965486496953
TU691	309.1873620402546	-0.14740298328287116	0.19763138432490276	-0.74584805336658	0.4557592080966777	0.8016965486496953
TU2845	87.60577322708664	-0.1908228449009555	0.2565212111830637	-0.7438871975572295	0.4569447212263402	0.801699985613658
TU2852	265.696343324194	-0.1212974011810091	0.16289273533088938	-0.7446458611835186	0.45648583569021406	0.801699985613658
TU3155	642.4004003398395	0.10998963566735355	0.1479065190376713	0.7436429197508161	0.45709253032149355	0.801699985613658
TU8008	605.338914142971	-0.09391817495891276	0.126253885039311	-0.7438834450889963	0.45694699158945395	0.801699985613658
TU7001	106.55153671748381	0.1634873790522051	0.2201430131995319	0.7426416885827959	0.4576986418904236	0.802382595427809
TU3326	186.93156896995745	0.13492177580528747	0.18179626570351906	0.742159225785878	0.4579908695739577	0.8025145554495828
TU1829	775.4399206879768	-0.11394497704772574	0.15382686789019062	-0.7407352084231827	0.4588540069875745	0.8028859847904627
TU2063	1643.6838698639276	-0.145429337414568	0.1962992962937201	-0.7408551133925818	0.4587812940432991	0.8028859847904627
TU2245	29.18553731265341	0.33267533022221396	0.4490347596559925	0.7408676568314623	0.45877368780619837	0.8028859847904627
TU1427	989.4972979726114	0.18027538209929922	0.24401410125257134	0.7387908369799573	0.46003401670147437	0.8039073933542986
TU3027	749.4000442839811	0.09907592404982532	0.13408744865803507	0.7388903662601555	0.45997357267200556	0.8039073933542986
TU544	65.21211794744731	-0.30846361551144574	0.4179061967825722	-0.7381168738015457	0.4604434307831258	0.8039073933542986
TU756	2308.0685333752867	0.11189645827570238	0.15162458251116256	0.737983619954664	0.4605244029515433	0.8039073933542986
TU798	57.42359403978373	-0.23721176208264422	0.32132597138121854	-0.7382277911212415	0.46037603755721634	0.8039073933542986
TU3227	158.25637848083414	-0.13902283138072236	0.18855995549628848	-0.7372871456975859	0.46094774754590057	0.8042668481944746
TU2612	29.719756403634236	0.3104958704352746	0.4214228057357914	0.7367799421608384	0.46125618275316177	0.8044255634153443
TU1153	2656.0395661253706	-0.1153203540267585	0.15673818088294056	-0.7357515148965852	0.4618819327980481	0.804861569709896
TU8030	38.270433818796924	0.23112693213765237	0.3141789088031743	0.735653876379232	0.4619413659081128	0.804861569709896
TU222	62.30328998445176	0.23583257276399602	0.3209681897285955	0.7347537242348269	0.4624894946096679	0.8054372130702266
TU3148	94.08694818039602	-0.241833392495703	0.3294476841615247	-0.7340570418978409	0.462913973617927	0.8057970769000997
TU1111	794.3126335717039	0.091716892561601	0.12521436724488058	0.732478984478124	0.46387626519383285	0.8069162683484652
TU1133	115.4211321539674	0.2234980129334706	0.30550354993698325	0.7315725561276519	0.4644295040048344	0.8069162683484652
TU1502	402.2343645034447	-0.12455606560234302	0.17010396162323854	-0.73223494863818	0.46402517642769026	0.8069162683484652
TU578	128.81401560339594	0.25133045261486725	0.34340848284886427	0.7318702512234649	0.4642477652335067	0.8069162683484652
TU8013	58.20096459100762	-0.2244290872810708	0.3073464181004612	-0.7302153988588619	0.46525853136302364	0.8079771396769129
TU1891	2175.636626283055	-0.14952779781037712	0.204938789304264	-0.7296217486108961	0.4656214245049835	0.808227897345816
TU2134	2001.0780657796424	0.11656409469137538	0.15988414471406912	0.7290534962039813	0.46596893944457596	0.8082406032707001
TU345	176.71261257766702	-0.14546316845541096	0.19956663362076466	-0.7288952357227902	0.46606574933127964	0.8082406032707001
TU1726	95.81731026964204	-0.1972141186011279	0.27117860730203275	-0.727248069319403	0.4670740041247001	0.8096095319855979
TU6083	53955.86204632403	-0.1526132331629502	0.20996158332499906	-0.7268626514723912	0.4673100985798334	0.8096393698579878
TU2883	139.353593110707	-0.15345957258693005	0.21198099728015668	-0.7239307983069634	0.469108220920162	0.8116142699643027
TU470	13.116448578646034	-0.3902546438575695	0.5390635783633101	-0.723949195459374	0.4690969259220795	0.8116142699643027
TU953	177.91259287357997	0.12956893892920704	0.17895821336112244	0.7240178391127986	0.46905478323127536	0.8116142699643027
TU1051	649.0357558214192	0.0902436805729492	0.1260000335288286	0.7162194964995909	0.4738558263236674	0.8128594381038606
TU1102	32.872267840738864	-0.25192775267749473	0.35207121827127297	-0.7155590676071195	0.4742636558940408	0.8128594381038606
TU1444	107.92638229101946	0.2113892863612845	0.2956270148024371	0.7150540234036212	0.4745756620356523	0.8128594381038606
TU1645	870.716221629414	0.13451633253078654	0.1865021383416615	0.7212589288620388	0.47075022128106336	0.8128594381038606
TU177	22.033244633345745	-0.3657606018353122	0.5083344603702163	-0.7195274575108117	0.47181599064942686	0.8128594381038606
TU18	27.656229594376427	0.27257343688553376	0.38145739294194714	0.7145580133690472	0.4748821967403198	0.8128594381038606
TU1879	50.895835164687725	-0.19342040276776554	0.2692103455877815	-0.7184731416820564	0.4724656026364222	0.8128594381038606
TU1990	18.89396195826329	-0.30148466679180425	0.42101454617563056	-0.7160908560770649	0.4739352495317474	0.8128594381038606
TU2142	826.3244869321372	0.14688079552908115	0.20553551430247366	0.7146248959823359	0.47484085687832206	0.8128594381038606
TU2292	27.45985598444352	0.32620764720554607	0.4553243001888394	0.7164292506906748	0.4737263387825614	0.8128594381038606
TU2370	2748.3337321488457	0.08776257499340927	0.12235521292152872	0.7172769586016323	0.4732032215579367	0.8128594381038606
TU2399	83.52120034930337	-0.1543769188149746	0.21404466255918317	-0.7212369463886514	0.4707637437791765	0.8128594381038606
TU2423	146.61151851668959	0.15360613675308754	0.2144166177616409	0.7163910071739209	0.4737499461999831	0.8128594381038606
TU2502	52.62546822145072	-0.21985904972007625	0.30518075699187475	-0.7204223879880142	0.47126496975864274	0.8128594381038606
TU2833	47.0771250691045	-0.2836677491098641	0.39666740516938187	-0.7151274478646272	0.47453029487981807	0.8128594381038606
TU287	23.542628627249027	-0.27733328339538604	0.38521755435393223	-0.7199393700022723	0.47156232641573215	0.8128594381038606
TU301	469.70579678144674	-0.22525255442624487	0.3140413150956297	-0.7172704469080844	0.47320723868679476	0.8128594381038606
TU3355	659.2629136731272	-0.1166879455332833	0.16204606794169157	-0.720091187743418	0.47146885287812784	0.8128594381038606
TU3529	156.7953632352627	-0.19344007371335195	0.2688452937657839	-0.7195218893505182	0.47181942015286504	0.8128594381038606
TU3697	21.933693042502256	0.29763875775745424	0.4150816435663428	0.7170607574938024	0.4733366082128335	0.8128594381038606
